X               errX            errRel
1.50000000      nan             3.71875000
1.250000000     0.250000000     0.151367188
1.375000000     0.125000000     1.440277100
1.312500000     0.062500000     0.571415901
1.281250000     0.031250000     0.193231851
1.265625000     0.015625000     0.016909496
1.257812500     0.007812500     0.068213141
1.261718750     0.003906250     0.025900551
1.263671875     0.001953125     0.004558044
1.264648438     0.000976562     0.006160055
1.264160156     0.000488281     0.000797093
1.263916016     0.000244141     0.001881453
1.264038086     0.000122070     0.000542424
1.264099121     0.000061035     0.000127274
1.264068604     0.000030518     0.000207590
1.264083862     0.000015259     0.000040162
1.264091492     0.000007629     0.000043555
1.264087677     0.000003815     0.000001696
1.264085770     0.000001907     0.000019233
1.264086723     0.000000954     0.000008769
1.264087200     0.000000477     0.000003536
1.264087439     0.000000238     0.000000920
1.264087558     0.000000119     0.000000388
1.264087498     0.000000060     0.000000266
1.264087528     0.000000030     0.000000061
1.264087513     0.000000015     0.000000103
1.264087521     0.000000007     0.000000021
1.264087524     0.000000004     0.000000020
1.264087522     0.000000002     0.000000000

